 ,Area,Mean,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
23,35.04,255,78.93,62.60,8.26,5.40,69.46,0.58,1.53,0.65,0.86
24,53.98,255,87.68,69.08,9.34,7.36,95.24,0.55,1.27,0.79,0.85
25,92.37,255,77.79,74.29,11.47,10.26,16.84,0.73,1.12,0.89,0.92
26,53.11,255,69.11,82.01,8.79,7.69,144.97,0.83,1.14,0.88,0.95
27,30.84,255,77.10,40.41,7.71,5.09,118.16,0.73,1.51,0.66,0.90
28,59.02,255,66.60,42.20,9.52,7.89,109.98,0.51,1.21,0.83,0.88
29,57.16,255,49.31,58.97,9.09,8.01,56.89,0.58,1.13,0.88,0.86
30,54.12,255,87.74,69.10,8.86,7.78,118.86,0.56,1.14,0.88,0.85
31,47.11,255,54.56,70.10,8.14,7.37,178.39,0.71,1.10,0.91,0.91
32,94.05,255,77.69,74.47,11.47,10.44,16.21,0.77,1.10,0.91,0.93
33,48.26,255,69.18,82.24,8.41,7.31,145.85,0.74,1.15,0.87,0.92
34,35.70,255,76.96,40.10,8.32,5.47,116.02,0.75,1.52,0.66,0.93
35,71.83,255,49.11,58.74,10.05,9.10,64.60,0.73,1.11,0.90,0.93
36,42.17,255,54.74,70.11,7.72,6.96,14.23,0.69,1.11,0.90,0.90
37,31.24,255,87.96,71.99,9.27,4.29,141.85,0.56,2.16,0.46,0.88
38,96.95,255,77.34,74.57,12.04,10.25,3.70,0.69,1.17,0.85,0.90
39,39.28,255,69.39,82.42,7.65,6.54,151.49,0.65,1.17,0.86,0.86
40,40.71,255,76.65,39.48,9.42,5.50,115.94,0.62,1.71,0.58,0.90
41,79.74,255,49.05,58.59,10.72,9.47,65.33,0.82,1.13,0.88,0.95
42,36.70,255,55.06,69.89,7.42,6.29,52.13,0.60,1.18,0.85,0.84
43,91.51,255,77.36,74.69,11.60,10.04,10.26,0.71,1.16,0.87,0.90
44,30.31,255,67.04,30.76,7.70,5.01,39.52,0.61,1.54,0.65,0.86
45,48.47,255,76.37,38.40,10.38,5.95,108.85,0.68,1.75,0.57,0.92
46,83.10,255,48.95,58.58,11.03,9.60,65.43,0.85,1.15,0.87,0.96
47,81.37,255,77.47,74.92,10.95,9.46,35.46,0.74,1.16,0.86,0.91
48,33.81,255,56.85,77.50,8.55,5.03,157.00,0.60,1.70,0.59,0.84
49,44.46,255,66.76,30.75,9.38,6.03,30.67,0.74,1.56,0.64,0.93
50,30.17,255,82.01,34.67,7.55,5.09,126.25,0.60,1.49,0.67,0.86
51,48.55,255,76.12,37.85,10.06,6.15,104.65,0.72,1.64,0.61,0.93
52,48.16,255,97.35,55.17,9.99,6.14,114.10,0.59,1.63,0.61,0.89
53,82.99,255,48.83,58.64,11.17,9.46,62.94,0.85,1.18,0.85,0.96
54,66.11,255,77.52,75.28,10.00,8.42,45.84,0.67,1.19,0.84,0.91
55,52.15,255,55.65,77.68,8.81,7.54,173.05,0.72,1.17,0.86,0.90
56,53.32,255,66.74,30.66,10.03,6.77,29.84,0.81,1.48,0.68,0.95
57,48.12,255,82.44,34.53,9.89,6.20,136.66,0.72,1.60,0.63,0.93
58,45.67,255,76.02,37.50,9.30,6.25,105.56,0.72,1.49,0.67,0.92
59,48.03,255,53.86,40.94,8.84,6.92,148.07,0.38,1.28,0.78,0.79
60,57.08,255,97.12,54.38,9.21,7.89,134.66,0.82,1.17,0.86,0.95
61,79.58,255,48.69,58.75,11.14,9.10,57.40,0.80,1.22,0.82,0.95
62,30.54,255,98.05,60.79,6.99,5.57,161.17,0.76,1.26,0.80,0.94
63,45.49,255,77.35,75.87,8.22,7.05,40.10,0.55,1.17,0.86,0.84
64,59.94,255,55.34,77.91,9.21,8.28,31.40,0.71,1.11,0.90,0.91
65,48.69,255,63.47,86.92,9.15,6.78,165.20,0.40,1.35,0.74,0.84
66,59.71,255,66.78,30.57,10.57,7.19,33.76,0.82,1.47,0.68,0.95
67,63.72,255,82.31,34.31,11.62,6.98,136.95,0.75,1.66,0.60,0.95
68,40.06,255,75.93,37.28,8.62,5.92,105.80,0.77,1.46,0.69,0.92
69,58.63,255,53.69,40.48,9.83,7.60,156.93,0.49,1.29,0.77,0.83
70,110.16,255,97.49,56.90,15.14,9.27,101.27,0.77,1.63,0.61,0.96
71,72.40,255,48.50,58.89,11.01,8.38,51.33,0.69,1.31,0.76,0.91
72,67.18,255,54.95,78.41,10.52,8.13,59.33,0.75,1.29,0.77,0.91
73,68.21,255,63.74,86.89,10.41,8.35,159.81,0.75,1.25,0.80,0.94
74,62.72,255,66.77,30.54,10.90,7.33,36.17,0.83,1.49,0.67,0.96
75,74.79,255,82.11,34.27,12.42,7.67,137.93,0.76,1.62,0.62,0.94
76,88.67,255,53.11,41.53,11.17,10.11,67.11,0.71,1.10,0.91,0.92
77,121.51,255,97.66,56.94,15.35,10.08,99.81,0.80,1.52,0.66,0.97
78,39.23,255,49.05,58.12,7.97,6.27,95.70,0.64,1.27,0.79,0.86
79,72.59,255,54.49,79.00,11.70,7.90,64.63,0.77,1.48,0.68,0.92
80,49.19,255,85.46,79.32,8.61,7.28,169.18,0.68,1.18,0.85,0.90
81,45.81,255,76.03,85.27,10.49,5.56,98.03,0.54,1.89,0.53,0.82
82,80.50,255,63.90,87.22,11.20,9.15,152.80,0.81,1.22,0.82,0.95
83,60.99,255,66.72,30.50,10.97,7.08,35.62,0.78,1.55,0.64,0.94
84,53.65,255,78.29,33.69,11.34,6.02,51.10,0.52,1.88,0.53,0.82
85,43.33,255,84.11,35.65,8.53,6.47,84.66,0.76,1.32,0.76,0.93
86,93.46,255,53.10,41.49,11.65,10.22,59.96,0.78,1.14,0.88,0.94
87,44.74,255,91.44,41.79,9.59,5.94,124.02,0.68,1.62,0.62,0.90
88,124.98,255,97.85,57.01,15.31,10.39,100.12,0.79,1.47,0.68,0.96
89,59.45,255,45.50,68.33,9.23,8.20,111.05,0.50,1.13,0.89,0.83
90,74.66,255,54.19,79.56,12.09,7.86,65.27,0.75,1.54,0.65,0.92
91,64.01,255,85.40,79.40,10.08,8.09,155.97,0.74,1.25,0.80,0.92
